serial_number,name_of_facility,type_of_facility_select_one_of_phc_secondary_tertiary_pfp_fbo,presumptive_classification_presumptive_ds_tb,presumptive_classification_presumptive_dr_tb,presumptive_examined_for_diagnosis,presumptive_examinations_xpert,presumptive_examinations_afb,presumptive_examinations_tb_lamp_lf_lam_and_others,presumptive_examinations_screened_with_x_ray,presumptive_bacteriologically_positive_xpert_positive,presumptive_bacteriologically_positive_smear_positive,presumptive_bacteriologically_positive_tb_lamp_lf_lam_positive,presumptive_chest_x_ray_suggestive,presumptive_total_diagnosed,presumptive_rifampicin_resistant_cases,presumptive_previously_known_hiv_status_positive,presumptive_previously_known_hiv_status_negative,presumptive_hiv_status_positive,presumptive_hiv_status_negative,presumptive_hiv_status_unknown,presumptive_no_of_presumptive_that_are_hc_ws,presumptive_referred_from_the_community,presumptive_referred_from_ppm,confirmed_pulmonary_tb_cases_new,confirmed_pulmonary_tb_cases_relapse,confirmed_pulmonary_tb_cases_tx_history_unknown,confirmed_pulmonary_tb_cases_all_other_retreatment_tb_cases,confirmed_eptb_cases_new,confirmed_eptb_cases_relapse,confirmed_eptb_cases_tx_history_unknown,confirmed_eptb_cases_all_other_retreatment_tb_cases,total_tb_cases,previously_known_hiv_status_positive,previously_known_hiv_status_negative,previously_unknown_hiv_status_tested_for_hiv_positive,previously_unknown_hiv_status_tested_for_hiv_negative,previously_unknown_hiv_status_not_tested,bacteriologically_diagnosed_xpert_positive,bacteriologically_diagnosed_smear_positive,bacteriologically_diagnosed_tb_lamp_positive,bacteriologically_diagnosed_lf_lam_positive,clinically_diagnosed_x_ray_other_clinical_diagnosis,no_of_health_care_workers_diagnosed_with_tb,community_activity_referred_from_the_community,community_activity_managed_by_treatment_supporter,quarter,lga,year,presumptive_bacteriologically_positive_truenat_positive,presumptive_examinations_truenat,bacteriologically_diagnosed_truenat_positive,presumptive_no_of_presumptive_that_are_positive_for_covid_19,presumptive_no_of_presumptive_that_are_tested_for_covid_19,presumptive_other_clinical_diagnosis,no_of_tb_patients_with_covid_19_infection,facility,zones,states,lgas,lat,lon
11,BC BAGOMA,PHC,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2021,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
12,BC BAGOMA,PHC,21,0,21,11,0,0,29,1,0,0,0,1,0,0,0,0,20,1,0,13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,5,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
13,BC BAGOMA,PHC,27,0,27,25,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
14,BC BAGOMA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2021,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
15,BC BAGOMA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2022,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
16,BC BAGOMA,PHC,14,0,14,14,0,0,0,2,0,0,0,2,0,0,0,0,6,8,0,14,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,2,Birin gwari,2022,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
17,BC BAGOMA,PHC,32,0,32,20,0,0,12,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2022,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
18,BC BAGOMA,PHC,109,0,109,0,86,0,23,0,6,0,3,9,0,0,0,0,109,0,0,109,0,9,0,0,0,0,0,0,0,9,0,0,0,9,0,0,6,0,0,3,0,9,0,4,Birin gwari,2022,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
19,BC BAGOMA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2023,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
20,BC BAGOMA,PHC,50,0,50,20,0,0,30,2,0,0,2,4,0,0,0,0,0,50,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,0,2,0,4,4,2,Birin gwari,2023,0,0,0,0,0,0,0,Bcbagoma,,,,10.64797,6.52725
21,HC DAWAKUI BASSA,PHC,41,0,41,41,0,0,0,1,0,0,0,1,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Birin gwari,2021,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
1,HC DAWAKUI BASSA,PHC,45,0,45,32,0,0,13,5,0,0,1,6,0,0,0,0,22,23,0,32,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,5,0,0,0,1,0,6,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
2,HC DAWAKUI BASSA,PHC,43,0,43,37,0,0,6,1,0,0,0,1,0,0,0,0,0,43,0,31,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
3,HC DAWAKUI BASSA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2021,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
4,HC DAWAKUI BASSA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2022,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
5,HC DAWAKUI BASSA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2022,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
6,HC DAWAKUI BASSA,PHC,33,0,33,13,20,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2022,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
7,HC DAWAKUI BASSA,PHC,18,0,18,0,0,0,18,0,0,0,2,2,0,0,0,0,18,0,0,11,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,0,4,Birin gwari,2022,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
8,HC DAWAKUI BASSA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2023,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
9,HC DAWAKUI BASSA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2023,0,0,0,0,0,0,0,Hcdawakuibassa,,,,10.61259,6.48777
10,HC KWAGA,PHC,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2021,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
11,HC KWAGA,PHC,78,0,78,49,0,0,50,2,0,0,0,2,0,0,0,0,32,46,0,64,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,1,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
12,HC KWAGA,PHC,42,0,42,42,0,0,5,10,0,0,0,10,0,0,0,0,0,42,0,19,2,10,0,0,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0,0,10,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
13,HC KWAGA,PHC,264,0,264,244,0,0,0,25,0,0,1,26,0,0,0,0,26,238,0,44,0,26,0,0,0,0,0,0,0,26,0,0,0,26,0,25,0,0,0,1,0,25,1,4,Birin gwari,2021,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
14,HC KWAGA,PHC,188,0,188,138,0,0,18,17,0,0,0,17,0,0,0,0,188,0,0,188,0,17,0,0,0,0,0,0,0,17,0,0,0,17,0,17,0,0,0,0,0,17,17,1,Birin gwari,2022,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
15,HC KWAGA,PHC,135,0,135,75,0,0,60,10,0,0,3,13,0,0,0,0,23,112,0,135,0,13,0,0,0,0,0,0,0,13,0,0,0,13,0,13,0,0,0,0,0,10,0,2,Birin gwari,2022,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
16,HC KWAGA,PHC,120,0,120,90,10,0,20,2,4,0,0,13,0,0,0,0,120,0,0,13,0,13,0,0,0,0,0,0,0,13,0,0,0,13,0,2,4,0,0,7,0,8,5,3,Birin gwari,2022,0,0,0,0,0,7,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
17,HC KWAGA,PHC,115,0,115,5,95,0,15,2,10,0,5,17,0,0,0,0,115,0,0,109,0,17,0,0,0,0,0,0,0,17,0,0,0,17,0,2,10,0,0,5,0,17,0,4,Birin gwari,2022,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
18,HC KWAGA,PHC,198,0,198,0,100,0,98,0,9,0,3,12,0,0,0,0,12,186,0,198,0,12,0,0,0,0,0,0,0,12,0,0,0,12,0,0,9,0,0,3,0,9,12,1,Birin gwari,2023,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
19,HC KWAGA,PHC,241,0,241,96,45,0,100,5,4,0,12,21,0,0,0,0,0,241,0,21,0,21,0,0,0,0,0,0,0,21,0,0,0,21,0,5,4,0,0,12,0,21,17,2,Birin gwari,2023,0,0,0,0,0,0,0,Hckwaga,NWZ,Kaduna,Birin gwari,10.6662954,6.550727
20,HC TASHAR KEJI,PHC,27,0,27,27,0,0,0,1,0,0,0,1,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,Birin gwari,2021,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
21,HC TASHAR KEJI,PHC,22,0,22,14,0,0,8,1,0,0,1,2,0,0,0,0,2,20,0,12,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,1,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
1,HC TASHAR KEJI,PHC,20,0,20,20,0,0,0,1,0,0,0,1,0,0,0,0,0,20,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
2,HC TASHAR KEJI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2021,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
3,HC TASHAR KEJI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2022,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
4,HC TASHAR KEJI,PHC,60,0,60,60,0,0,0,7,0,0,0,7,0,0,0,0,16,44,0,60,0,7,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,0,7,0,2,Birin gwari,2022,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
5,HC TASHAR KEJI,PHC,36,0,36,0,23,0,13,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2022,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
6,HC TASHAR KEJI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2022,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
7,HC TASHAR KEJI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2023,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
8,HC TASHAR KEJI,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2023,0,0,0,0,0,0,0,Hctasharkeji,,,,10.70989,6.60459
9,HC UNG KATIKA,PHC,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2021,0,0,0,0,0,0,0,Hcungkatika,,,,,
10,HC UNG KATIKA,PHC,14,10,24,0,0,0,21,1,0,0,1,2,0,0,0,0,5,19,0,10,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,1,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Hcungkatika,,,,,
11,HC UNG KATIKA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Hcungkatika,,,,,
12,HC UNG KATIKA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2021,0,0,0,0,0,0,0,Hcungkatika,,,,,
13,HC UNG KATIKA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2022,0,0,0,0,0,0,0,Hcungkatika,,,,,
14,HC UNG KATIKA,PHC,40,0,40,40,0,0,0,4,0,0,0,4,0,0,0,0,11,29,0,40,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,4,0,2,Birin gwari,2022,0,0,0,0,0,0,0,Hcungkatika,,,,,
15,HC UNG KATIKA,PHC,15,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2022,0,0,0,0,0,0,0,Hcungkatika,,,,,
16,HC UNG KATIKA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2022,0,0,0,0,0,0,0,Hcungkatika,,,,,
17,HC UNG KATIKA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2023,0,0,0,0,0,0,0,Hcungkatika,,,,,
18,HC UNG KATIKA,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2023,0,0,0,0,0,0,0,Hcungkatika,,,,,
19,HC UNG SHITU,PHC,34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2021,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
20,HC UNG SHITU,PHC,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
21,HC UNG SHITU,PHC,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
1,HC UNG SHITU,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Birin gwari,2021,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
2,HC UNG SHITU,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birin gwari,2022,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
3,HC UNG SHITU,PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Birin gwari,2022,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
4,HC UNG SHITU,PHC,36,0,36,28,8,0,0,0,0,0,0,6,0,0,0,0,36,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,6,0,3,Birin gwari,2022,0,0,0,0,0,6,0,Hcungshitu,,,,10.66193,6.54543
5,HC UNG SHITU,PHC,13,0,13,20,30,0,0,8,12,0,0,20,0,0,0,0,13,0,0,10,10,20,0,0,0,0,0,0,0,20,0,0,0,20,0,8,12,0,0,0,0,12,0,4,Birin gwari,2022,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
6,HC UNG SHITU,PHC,31,0,31,0,31,0,0,0,4,0,0,4,0,0,0,0,0,27,0,27,4,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,4,1,Birin gwari,2023,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
7,HC UNG SHITU,PHC,53,0,53,53,0,0,0,3,0,0,0,3,0,0,0,0,0,53,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,2,Birin gwari,2023,0,0,0,0,0,0,0,Hcungshitu,,,,10.66193,6.54543
8,HEALTH CLINIC KAMFANIN DOKA,PHC,24,0,24,12,0,0,0,0,0,0,2,2,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,2,1,Birin gwari,2021,0,0,0,0,0,0,0,Hckamfanindoka,,,,10.63618,6.56106
9,HEALTH CLINIC KAMFANIN DOKA,PHC,35,0,35,13,0,0,22,1,0,0,3,4,0,0,0,0,5,30,0,22,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,3,0,4,0,2,Birin gwari,2021,0,0,0,0,0,0,0,Hckamfanindoka,,,,10.63618,6.56106
10,HEALTH CLINIC KAMFANIN DOKA,PHC,56,0,56,52,0,0,4,8,0,0,0,8,0,0,0,0,0,56,0,30,0,8,0,0,0,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,0,8,0,3,Birin gwari,2021,0,0,0,0,0,0,0,Hckamfanindoka,,,,10.63618,6.56106
11,HEALTH CLINIC KAMFANIN DOKA,PHC,26,0,26,17,0,0,0,3,0,0,0,3,0,0,0,0,3,23,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,4,Birin gwari,2021,0,0,0,0,0,0,0,Hckamfanindoka,,,,10.63618,6.56106
12,HEALTH CLINIC KAMFANIN DOKA,PHC,180,0,180,96,0,0,84,16,0,0,0,16,0,0,0,0,180,0,0,96,0,16,0,0,0,0,0,0,0,16,0,0,0,16,0,16,0,0,0,0,0,16,16,1,Birin gwari,2022,0,0,0,0,0,0,0,Hckamfanindoka,,,,10.63618,6.56106
13,HEALTH CLINIC KAMFANIN DOKA,PHC,100,0,100,48,2,0,50,3,0,0,5,8,0,0,0,0,38,62,0,100,0,8,0,0,0,0,0,0,0,8,0,0,0,8,0,3,0,0,0,5,0,5,8,2,Birin gwari,2022,0,0,0,0,0,0,0,Hckamfanindoka,,,,10.63618,6.56106
14,HEALTH CLINIC KAMFANIN DOKA,PHC,310,0,310,113,122,0,75,0,0,0,0,11,0,0,0,0,310,0,0,11,0,11,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,11,0,11,0,3,Birin gwari,2022,0,0,0,0,0,11,0,Hckamfanindoka,,,,10.63618,6.56106
